Iter,min,max
0,0.03543729,12.67015
100,6.492871,408.5987
200,14.67346,460.9855
300,49.48588,554.2577
400,31.40784,623.0867
500,76.95961,625.7937
600,77.92595,627.977
700,78.87937,628.7501
800,12.50595,631.1065
900,21.00003,636.879
1000,18.88136,644.7873
1100,27.77976,652.6228
1200,17.55826,653.2277
1300,59.44591,660.4894
1400,44.66224,664.2822
1500,59.15371,721.8377
1600,65.35777,824.0389
1700,66.18908,765.929
1800,19.40296,802.3246
1900,37.45977,790.1925
2000,18.83501,741.1217
2100,58.20502,745.6808
2200,19.20141,758.5657
2300,54.64403,776.8291
2400,33.24089,756.8993
2500,60.89014,754.9269
2600,59.1985,781.1413
2700,48.1196,791.9312
2800,63.74613,815.0583
2900,45.24324,850.1732
3000,29.02668,1211.57
